objectid,display_template,parentid,sequence,file_name,identifier,image_small,image_thumb,image_alt_text,object_transcript,title,ark,avian_id,uid,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,creator,creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,contributor,contributor_uri,description,disclaimer,language,chronological_subject,name_subject,name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,digital_origin
iowaornithassoc_027,image,iowaornithassoc_027,,ms0581b001f001i0027.jpg,ms0581b001f001i0027,/public_html/objects/ioa/small/ms0581b001f001i0027_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0027_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_028,image,iowaornithassoc_028,,ms0581b001f001i0028.jpg,ms0581b001f001i0028,/public_html/objects/ioa/small/ms0581b001f001i0028_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0028_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_029,image,iowaornithassoc_029,,ms0581b001f001i0029.jpg,ms0581b001f001i0029,/public_html/objects/ioa/small/ms0581b001f001i0029_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0029_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_030,image,iowaornithassoc_030,,ms0581b001f001i0030.jpg,ms0581b001f001i0030,/public_html/objects/ioa/small/ms0581b001f001i0030_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0030_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_031,image,iowaornithassoc_031,,ms0581b001f001i0031.jpg,ms0581b001f001i0031,/public_html/objects/ioa/small/ms0581b001f001i0031_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0031_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_032,image,iowaornithassoc_032,,ms0581b001f001i0032.jpg,ms0581b001f001i0032,/public_html/objects/ioa/small/ms0581b001f001i0032_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0032_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_033,image,iowaornithassoc_033,,ms0581b001f001i0033.jpg,ms0581b001f001i0033,/public_html/objects/ioa/small/ms0581b001f001i0033_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0033_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_034,image,iowaornithassoc_034,,ms0581b001f001i0034.jpg,ms0581b001f001i0034,/public_html/objects/ioa/small/ms0581b001f001i0034_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0034_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_035,image,iowaornithassoc_035,,ms0581b001f001i0035.jpg,ms0581b001f001i0035,/public_html/objects/ioa/small/ms0581b001f001i0035_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0035_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_036,image,iowaornithassoc_036,,ms0581b001f001i0036.jpg,ms0581b001f001i0036,/public_html/objects/ioa/small/ms0581b001f001i0036_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0036_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_037,image,iowaornithassoc_037,,ms0581b001f001i0037.jpg,ms0581b001f001i0037,/public_html/objects/ioa/small/ms0581b001f001i0037_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0037_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_038,image,iowaornithassoc_038,,ms0581b001f001i0038.jpg,ms0581b001f001i0038,/public_html/objects/ioa/small/ms0581b001f001i0038_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0038_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_039,image,iowaornithassoc_039,,ms0581b001f001i0039.jpg,ms0581b001f001i0039,/public_html/objects/ioa/small/ms0581b001f001i0039_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0039_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_040,image,iowaornithassoc_040,,ms0581b001f001i0040.jpg,ms0581b001f001i0040,/public_html/objects/ioa/small/ms0581b001f001i0040_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0040_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_041,image,iowaornithassoc_041,,ms0581b001f001i0041.jpg,ms0581b001f001i0041,/public_html/objects/ioa/small/ms0581b001f001i0041_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0041_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_042,image,iowaornithassoc_042,,ms0581b001f001i0042.jpg,ms0581b001f001i0042,/public_html/objects/ioa/small/ms0581b001f001i0042_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0042_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_043,image,iowaornithassoc_043,,ms0581b001f001i0043.jpg,ms0581b001f001i0043,/public_html/objects/ioa/small/ms0581b001f001i0043_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0043_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_044,image,iowaornithassoc_044,,ms0581b001f001i0044.jpg,ms0581b001f001i0044,/public_html/objects/ioa/small/ms0581b001f001i0044_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0044_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_045,image,iowaornithassoc_045,,ms0581b001f001i0045.jpg,ms0581b001f001i0045,/public_html/objects/ioa/small/ms0581b001f001i0045_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0045_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_046,image,iowaornithassoc_046,,ms0581b001f001i0046.jpg,ms0581b001f001i0046,/public_html/objects/ioa/small/ms0581b001f001i0046_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0046_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_047,image,iowaornithassoc_047,,ms0581b001f001i0047.jpg,ms0581b001f001i0047,/public_html/objects/ioa/small/ms0581b001f001i0047_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0047_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_048,image,iowaornithassoc_048,,ms0581b001f001i0048.jpg,ms0581b001f001i0048,/public_html/objects/ioa/small/ms0581b001f001i0048_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0048_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
